"","Date","Item","Category","Rebecca","Justin","Robert"
"1",2018-03-28,"Pasmo","Transport",0,500,0
"2",2018-03-28,"Pasmo reload","Transport",5000,3000,5000
"3",2018-03-28,"Tokyo bus ","Transport",1000,1000,1000
"4",2018-03-28,"3-day tokyo pass","Transport",3000,3000,3000
"5",2018-03-28,"Prime pod ginza ","Hotel",22080,22080,22080
"6",2018-03-28,"Lawson","Food",460,843,400
"7",2018-03-28,"Doraemon museum ","Attraction",1000,0,1000
"8",2018-03-28,"FF Osaka cafe","Food",1162,0,1162
"9",2018-03-29,"Uni scallop ","Food",333,333,333
"10",2018-03-29,"Tsukiji bowls","Food",2678,3542,2030
"11",2018-03-29,"Icecream","Food",300,400,400
"12",2018-03-29,"Drinks Tsujiri","Food",145,100,100
"13",2018-03-29,"Conbini","Food",86,86,157
"14",2018-03-29,"vending machine 2","Food",120,140,0
"15",2018-03-29,"Souvenir coin","Coins",200,0,0
"16",2018-03-29,"ikayaki stand","Food",918,810,0
"17",2018-03-29,"Takoyaki","Food",293,293,293
"18",2018-03-29,"Daiso","Merchandise",540,0,0
"19",2018-03-29,"Haunted house","Attraction",0,800,1600
"20",2018-03-29,"Daiso monster hunter","Merchandise",0,850,0
"21",2018-03-29,"Conbini","Food",100,0,140
"22",2018-03-29,"Kaitenzushi","Food",1812,3738,1180
"23",2018-03-29,"Daiso","Food",1620,216,108
"24",2018-03-29,"Hello kitty store ","Merchandise",270,0,0
"25",2018-03-29,"Daiba store","Food",0,1512,0
"26",2018-03-29,"Conbini","Food",144,0,0
"27",2018-03-30,"Dennys","Food",592,1400,484
"28",2018-03-30,"Disney tickets","Attraction",7400,7400,7400
"29",2018-03-30,"Penny","Coins",700,0,0
"30",2018-03-30,"Popcorn ","Food",310,310,310
"31",2018-03-30,"Disney lunch","Food",1950,1830,1080
"32",2018-03-30,"disney keychain","Merchandise",0,1700,0
"33",2018-03-30,"Disney souvenir ","Souvenir",2960,14400,1460
"34",2018-03-30,"Disney snack ","Food",720,0,0
"35",2018-03-30,"Pasmo reload","Transport",0,1000,0
"36",2018-03-30,"Jonathans ","Food",971,1294,1511
"37",2018-03-30,"lawsons","Food",516,371,270
"38",2018-03-31,"skytree tickets","Attraction",2060,2060,2060
"39",2018-03-31,"Sky tree town ","Attraction",700,0,0
"40",2018-03-31,"Purikura","Merchandise",300,0,300
"41",2018-03-31,"Sky tree souvenirs ","Souvenir",648,0,648
"42",2018-03-31,"food","Food",900,1819,1080
"43",2018-03-31,"Bread ","Food",399,0,399
"44",2018-03-31,"Drinks ","Food",420,330,330
"45",2018-03-31,"vending machine","Food",130,140,130
"46",2018-03-31,"Sanrio folders ","Merchandise",648,0,0
"47",2018-03-31,"milk ice cream","Food",380,380,0
"48",2018-03-31,"Pokemon centre ","Merchandise",950,0,0
"49",2018-03-31,"Penny ","Coins",200,0,0
"50",2018-03-31,"100yen","Food",108,0,108
"51",2018-03-31,"Kurikoan","Food",0,0,360
"52",2018-03-31,"Drinks ","Food",0,150,130
"53",2018-03-31,"Tokyu hands ","Merchandise",853,0,0
"54",2018-03-31,"Pokemon ","Merchandise",2030,0,0
"55",2018-03-31,"Vending machine ","Food",0,150,0
